Trigger Time,NPRI_1_2,NPRI_3_6,NewTSS,\Labworks Data\1920-NPRIC 1-3 Eff|TSS_FC24,\Labworks Data\1910-NPRIC 4-6 Eff|TSS_FC24
4/21/2019 8:00:00 AM,True,True,77.5,78,77
4/22/2019 8:00:00 AM,True,True,85.5,81,90
4/23/2019 8:00:00 AM,True,True,81.5,81,82
4/24/2019 8:00:00 AM,False,True,77,81,77
4/25/2019 8:00:00 AM,False,True,85,81,85
4/26/2019 8:00:00 AM,False,True,66,81,66
4/27/2019 8:00:00 AM,True,True,139,201,77
4/28/2019 8:00:00 AM,True,True,77,80,74
4/29/2019 8:00:00 AM,True,True,108,134,82
4/30/2019 8:00:00 AM,True,True,111,134,88
5/1/2019 8:00:00 AM,False,True,82,134,82
5/2/2019 8:00:00 AM,False,True,60,134,60
5/3/2019 8:00:00 AM,False,True,80,134,80
5/4/2019 8:00:00 AM,False,True,73,134,73
5/5/2019 8:00:00 AM,False,True,62,134,62
5/6/2019 8:00:00 AM,False,True,80,134,80
5/7/2019 8:00:00 AM,False,True,66,134,66
5/8/2019 8:00:00 AM,False,True,66,134,66
5/9/2019 8:00:00 AM,False,True,78,134,78
5/10/2019 8:00:00 AM,False,True,65,134,65
5/11/2019 8:00:00 AM,False,True,68,134,68
5/12/2019 8:00:00 AM,False,True,72,134,72
5/13/2019 8:00:00 AM,False,True,66,134,66
5/14/2019 8:00:00 AM,False,True,67,134,67
5/15/2019 8:00:00 AM,False,True,75,134,75
5/16/2019 8:00:00 AM,False,True,62,134,62
5/17/2019 8:00:00 AM,False,True,72,134,72
5/18/2019 8:00:00 AM,False,True,68,134,68
5/19/2019 8:00:00 AM,False,True,68,134,68
5/20/2019 8:00:00 AM,True,True,78,82,74
5/21/2019 8:00:00 AM,True,True,72.5,82,63
5/22/2019 8:00:00 AM,False,True,61,82,61
5/23/2019 8:00:00 AM,False,True,70,82,70
5/24/2019 8:00:00 AM,False,True,58,82,58
5/25/2019 8:00:00 AM,False,True,61,82,61
5/27/2019 8:00:00 AM,False,True,70,82,70
